GENE_ID,treat_1,treat_2,treat_3,control_1,control_2,control_3
TSPAN6,680,728,619,2941,554,605
TNMD,8,6,9,40,0,0
DPM1,1102,716,755,687,658,865
SCYL3,1672,1334,1342,1192,973,1196
C1orf112,721,313,417,734,490,331
FGR,919,110,132,370,287,205
CFH,8064,646,1400,733,833,364
FUCA2,2704,823,938,2500,1499,941
GCLC,3399,4046,4560,4354,5095,3343
NFYA,3400,2598,3118,3624,2604,2154
STPG1,1139,446,500,945,255,818
NIPAL3,14795,10664,6622,13454,11951,11748
LAS1L,3140,2117,1900,3626,2622,2573
ENPP4,3901,6494,6090,3451,5207,4422
SEMA3F,466,111,112,218,164,69
CFTR,160,289,268,206,350,217
ANKIB1,10681,8770,9180,13472,11391,7242
CYP51A1,8503,7736,7736,8668,5200,5778
KRIT1,3583,2670,3137,2493,2182,2513
RAD52,741,437,747,893,765,707
BAD,3195,1718,842,1414,1148,2211
LAP3,8754,1991,1774,4231,2083,1680
CD99,1724,928,584,4685,2761,1823
HS3ST1,2242,814,1127,400,698,708
AOC1,7,0,11,48,13,0
WNT16,258,147,384,17,92,223
HECW1,11628,6469,5190,638,2378,6749
MAD1L1,1442,698,732,1304,1127,1090
LASP1,6958,3304,1543,2793,1951,4812
SNX11,1600,1123,980,1201,1365,1102
TMEM176A,1724,305,272,1034,314,405
M6PR,2424,3081,2823,2614,1627,1693
KLHL13,900,591,746,749,433,649
CYP26B1,1126,905,342,766,288,3568
ICA1,3149,2318,2140,451,925,2206
DBNDD1,3125,1573,751,2028,690,1966
ALS2,7449,5143,5600,4077,2995,4874
CASP10,491,324,269,365,752,337
CFLAR,8153,4366,6194,10089,3859,2389
TFPI,1018,206,378,406,361,150
NDUFAF7,1343,740,842,636,511,707
RBM5,9402,6109,7475,9852,7272,6603
MTMR7,4565,5213,6313,2159,3723,4537
SLC7A2,3941,1239,489,2000,345,317
ARF5,6164,3380,3435,2320,1997,3900
SARM1,5958,2170,2711,3507,3431,3792
POLDIP2,8318,3115,2859,4642,3201,4286
PLXND1,17736,5134,4969,7150,7074,5997
AK2,4704,2241,2778,5306,2855,2268
CD38,1964,1259,953,4168,1482,1409
FKBP4,9179,5953,6688,7034,5548,7569
KDM1A,7417,3825,4359,4760,3103,3677
RBM6,4622,3315,3722,3485,3962,2672
CAMKK1,14899,7068,7434,1123,1823,9588
RECQL,1504,974,1139,1486,945,832
VPS50,3812,3876,4795,1933,1450,2925
HSPB6,484,105,181,863,302,334
ARHGAP33,4746,2598,1930,1412,3667,3473
NDUFAB1,2894,1148,1069,1178,1085,1586
PDK4,1372,2090,1943,3731,1889,1697
SLC22A16,2,5,29,25,11,0
ZMYND10,182,60,86,307,76,158
ABCB5,6,2,25,6,0,0
ARX,2100,629,739,1106,481,879
SLC25A13,1207,1141,774,1517,2061,871
ST7,1977,943,1133,1250,653,872
CDC27,6256,6813,7891,3197,3562,5911
SLC4A1,38,3,0,62,167,8
CALCR,28,25,15,14,8,32
HCCS,1552,1152,1217,651,484,1013
DVL2,2375,1050,1224,2538,1997,1413
UPF1,11393,4433,4312,9616,6618,6100
SKAP2,3054,2552,3124,767,1059,2574
SLC25A5,13112,5591,4843,13168,6350,6664
MCUB,826,369,376,693,463,427
POLR2J,939,286,244,959,564,596
DHX33,3183,1590,1818,2111,1307,1818
MEOX1,18,36,18,14,5,34
THSD7A,7926,3553,6673,2944,1646,3524
LIG3,3509,1521,2016,3412,2600,2339
RPAP3,2623,2301,2439,1238,1060,1908
ACSM3,60,50,39,31,28,29
REXO5,461,218,309,200,170,281
CIAPIN1,1687,976,873,1053,837,1387
SPPL2B,3453,1980,1760,3193,2781,3124
FAM214B,2612,1086,1385,2426,1811,1224
COPZ2,397,106,119,618,155,129
PRKAR2B,5778,5628,6043,865,1228,4081
MSL3,2315,1494,1796,1313,1161,1499
CREBBP,15864,4809,5198,11542,7217,7030
TSPOAP1,19196,12191,11508,4338,13561,19389
MPO,259,71,126,75,50,113
PON1,93,89,84,144,72,81
GCFC2,1004,1440,1976,931,1428,1506
WDR54,797,523,608,509,394,564
CROT,1428,898,1159,1095,789,1023
ABCB4,267,138,90,137,107,78
KMT2E,10737,8758,9731,10062,8589,8094
RHBDD2,11126,3108,2969,2960,2446,4836
SOX8,6870,5109,3081,16231,16438,6567
IBTK,5223,6122,7881,4501,5363,6287
ZNF195,1974,1201,1409,1245,770,1047
MYCBP2,62872,50117,48600,15425,17159,41926
FBXL3,5015,6377,7571,5049,3766,5068
ITGAL,1801,237,400,679,642,223
PDK2,6336,1140,2618,2433,1125,1823
ITGA3,4335,1295,1360,5124,1123,2015
ZFX,6465,5703,4126,4477,2766,3308
LAMP2,11666,16803,12672,25288,26083,14422
ITGA2B,78,96,96,138,260,175
ASB4,43,28,108,169,89,30
GDE1,5375,3191,4433,3272,3547,3811
REX1BD,2785,978,868,1381,1129,1551
CRLF1,863,218,301,1634,127,824
OSBPL7,1554,585,640,1344,1070,1285
TMEM98,1256,1775,1274,4602,3601,1409
YBX2,191,107,94,62,67,93
MAP3K14,2085,409,424,1623,575,290
ABCC8,4041,1624,1798,467,770,2793
CACNG3,5903,2287,1793,139,514,2121
TMEM132A,14223,4808,11952,12043,6723,7449
AP2B1,57514,33091,30520,23599,15308,26409
TAC1,2029,785,653,326,403,557
ZNF263,1363,765,830,1067,781,886
CX3CL1,5355,2149,7005,1341,2347,1969
SPATA20,4756,1557,1685,3137,1907,2720
CACNA1G,9941,3822,3255,340,995,3755
TNFRSF12A,1005,139,57,655,349,42
DLX6,187,35,40,9,28,45
MAP3K9,11278,8126,6005,734,2756,8710
RALA,3664,4821,5240,3462,3491,4601
BAIAP2L1,271,118,192,293,207,178
KDM7A,5297,4504,6341,2453,3396,4247
ETV1,2646,3335,2459,3022,2023,2681
AGK,2937,1744,1767,1314,880,1174
ALDH3B1,816,127,160,359,464,304
TTC22,87,42,52,13,22,73
PHTF2,2233,1751,1810,1364,1314,1142
FARP2,3728,2656,2972,3167,3314,2805
USH1C,545,444,332,314,372,169
GGCT,1360,826,672,514,433,947
DBF4,176,216,368,191,148,182
TBXA2R,168,20,24,104,110,60
IFRD1,2631,1976,1967,2333,1908,1617
COX10,1039,868,583,912,706,726
GTF2IRD1,2042,642,672,1501,990,884
PAF1,3820,1329,1557,2899,1610,1287
VPS41,12445,12345,11695,6563,5168,10328
ARHGAP44,9592,5692,4254,1185,2000,5777
ELAC2,4008,1783,1988,3649,2238,2094
SCIN,5026,401,678,737,827,319
ARSD,1959,780,962,3271,956,830
PNPLA4,1046,883,750,1034,490,670
ADIPOR2,5945,5322,4692,8117,8981,4584
CDKL3,343,327,586,355,275,415
UPP2,495,299,384,131,120,216
MARK4,7671,3564,2998,3211,3279,3897
PROM1,945,397,721,1451,606,367
CCDC124,3204,1081,1214,1786,1232,1318
CEACAM21,254,41,63,111,105,79
PAFAH1B1,38298,31271,36286,14605,15791,32439
NOS2,549,231,145,206,79,192
DNAH9,1553,494,606,1399,419,641
KIAA0100,22522,9374,9450,12241,8958,11090
GAS7,77869,54926,45199,20800,33900,57455
TRAPPC6A,460,413,465,517,469,473
MATK,2743,1750,1086,411,929,1862
CD79B,52,0,26,39,48,17
SCN4A,58,14,24,34,8,5
