GENE_ID,treat_1,treat_2,control_1,control_2
TSPAN6,680,728,2941,554
TNMD,8,6,40,0
DPM1,1102,716,687,658
SCYL3,1672,1334,1192,973
C1orf112,721,313,734,490
FGR,919,110,370,287
CFH,8064,646,733,833
FUCA2,2704,823,2500,1499
GCLC,3399,4046,4354,5095
NFYA,3400,2598,3624,2604
STPG1,1139,446,945,255
NIPAL3,14795,10664,13454,11951
LAS1L,3140,2117,3626,2622
ENPP4,3901,6494,3451,5207
SEMA3F,466,111,218,164
CFTR,160,289,206,350
ANKIB1,10681,8770,13472,11391
CYP51A1,8503,7736,8668,5200
KRIT1,3583,2670,2493,2182
RAD52,741,437,893,765
BAD,3195,1718,1414,1148
LAP3,8754,1991,4231,2083
CD99,1724,928,4685,2761
HS3ST1,2242,814,400,698
AOC1,7,0,48,13
WNT16,258,147,17,92
HECW1,11628,6469,638,2378
MAD1L1,1442,698,1304,1127
LASP1,6958,3304,2793,1951
SNX11,1600,1123,1201,1365
TMEM176A,1724,305,1034,314
M6PR,2424,3081,2614,1627
KLHL13,900,591,749,433
CYP26B1,1126,905,766,288
ICA1,3149,2318,451,925
DBNDD1,3125,1573,2028,690
ALS2,7449,5143,4077,2995
CASP10,491,324,365,752
CFLAR,8153,4366,10089,3859
TFPI,1018,206,406,361
NDUFAF7,1343,740,636,511
RBM5,9402,6109,9852,7272
MTMR7,4565,5213,2159,3723
SLC7A2,3941,1239,2000,345
ARF5,6164,3380,2320,1997
SARM1,5958,2170,3507,3431
POLDIP2,8318,3115,4642,3201
PLXND1,17736,5134,7150,7074
AK2,4704,2241,5306,2855
CD38,1964,1259,4168,1482
FKBP4,9179,5953,7034,5548
KDM1A,7417,3825,4760,3103
RBM6,4622,3315,3485,3962
CAMKK1,14899,7068,1123,1823
RECQL,1504,974,1486,945
VPS50,3812,3876,1933,1450
HSPB6,484,105,863,302
ARHGAP33,4746,2598,1412,3667
NDUFAB1,2894,1148,1178,1085
PDK4,1372,2090,3731,1889
SLC22A16,2,5,25,11
ZMYND10,182,60,307,76
ABCB5,6,2,6,0
ARX,2100,629,1106,481
SLC25A13,1207,1141,1517,2061
ST7,1977,943,1250,653
CDC27,6256,6813,3197,3562
SLC4A1,38,3,62,167
CALCR,28,25,14,8
HCCS,1552,1152,651,484
DVL2,2375,1050,2538,1997
UPF1,11393,4433,9616,6618
SKAP2,3054,2552,767,1059
SLC25A5,13112,5591,13168,6350
MCUB,826,369,693,463
POLR2J,939,286,959,564
DHX33,3183,1590,2111,1307
MEOX1,18,36,14,5
THSD7A,7926,3553,2944,1646
LIG3,3509,1521,3412,2600
RPAP3,2623,2301,1238,1060
ACSM3,60,50,31,28
REXO5,461,218,200,170
CIAPIN1,1687,976,1053,837
SPPL2B,3453,1980,3193,2781
FAM214B,2612,1086,2426,1811
COPZ2,397,106,618,155
PRKAR2B,5778,5628,865,1228
MSL3,2315,1494,1313,1161
CREBBP,15864,4809,11542,7217
TSPOAP1,19196,12191,4338,13561
MPO,259,71,75,50
PON1,93,89,144,72
GCFC2,1004,1440,931,1428
WDR54,797,523,509,394
CROT,1428,898,1095,789
ABCB4,267,138,137,107
KMT2E,10737,8758,10062,8589
RHBDD2,11126,3108,2960,2446
SOX8,6870,5109,16231,16438
IBTK,5223,6122,4501,5363
ZNF195,1974,1201,1245,770
MYCBP2,62872,50117,15425,17159
FBXL3,5015,6377,5049,3766
ITGAL,1801,237,679,642
PDK2,6336,1140,2433,1125
ITGA3,4335,1295,5124,1123
ZFX,6465,5703,4477,2766
LAMP2,11666,16803,25288,26083
ITGA2B,78,96,138,260
ASB4,43,28,169,89
GDE1,5375,3191,3272,3547
REX1BD,2785,978,1381,1129
CRLF1,863,218,1634,127
OSBPL7,1554,585,1344,1070
TMEM98,1256,1775,4602,3601
YBX2,191,107,62,67
